Construct ;Slide;Measurement number;Cell number;Tau
Cer3 Tau Phi;1;1;1;3.609
Cer3 Tau Phi;1;1;2;3.643
Cer3 Tau Phi;1;1;3;3.621
Cer3 Tau Phi;1;1;4;3.669
Cer3 Tau Phi;1;1;5;3.670
Cer3 Tau Phi;1;1;6;3.650
Cer3 Tau Phi;1;1;7;3.595
Cer3 Tau Phi;1;1;8;3.664
Cer3 Tau Phi;1;1;9;3.638
Cer3 Tau Phi;1;1;10;3.681
Cer3 Tau Phi;1;1;11;3.631
Cer3 Tau Phi;1;2;1;3.802
Cer3 Tau Phi;1;2;2;3.824
Cer3 Tau Phi;1;2;3;3.823
Cer3 Tau Phi;1;2;4;3.828
Cer3 Tau Phi;1;2;5;3.815
Cer3 Tau Phi;1;2;6;3.807
Cer3 Tau Phi;1;2;7;3.792
Cer3 Tau Phi;1;2;8;3.758
Cer3 Tau Phi;1;2;9;3.786
Cer3 Tau Phi;1;2;10;3.774
Cer3 Tau Phi;1;2;11;3.781
Cer3 Tau M;1;1;1;3.719
Cer3 Tau M;1;1;2;3.742
Cer3 Tau M;1;1;3;3.706
Cer3 Tau M;1;1;4;3.740
Cer3 Tau M;1;1;5;3.734
Cer3 Tau M;1;1;6;3.599
Cer3 Tau M;1;1;7;3.691
Cer3 Tau M;1;1;8;3.736
Cer3 Tau M;1;1;9;3.699
Cer3 Tau M;1;1;10;3.740
Cer3 Tau M;1;1;11;3.557
Cer3 Tau M;1;2;1;3.816
Cer3 Tau M;1;2;2;3.849
Cer3 Tau M;1;2;3;3.829
Cer3 Tau M;1;2;4;3.805
Cer3 Tau M;1;2;5;3.811
Cer3 Tau M;1;2;6;3.803
Cer3 Tau M;1;2;7;3.801
Cer3 Tau M;1;2;8;3.776
Cer3 Tau M;1;2;9;3.805
Cer3 Tau M;1;2;10;3.776
Cer3 Tau M;1;2;11;3.806